,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,international,european_or_international,time_to_first_funding,status_encoded
14081,Inktank,Enterprise Software,14400000.0,acquired,USA,CA,SF Bay Area,San Francisco,2.0,5,2012,0.0,14400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.3589041095890411,0
14085,Inlet Technologies,Web Hosting,22400000.0,acquired,USA,NC,Raleigh,Raleigh,3.0,1,2003,0.0,22400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9400000.0,10000000.0,0.0,0.0,0.0,0.0,0,international,2.5671232876712327,0
14090,InMage Systems,Enterprise Software,35856605.0,acquired,USA,CA,SF Bay Area,San Jose,5.0,1,2001,0.0,35856605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,15000000.0,7483786.0,0.0,0.0,0.0,0,international,2.9452054794520546,0
14120,InnoPharma,Biotechnology,43000000.0,acquired,USA,NJ,Newark,Piscataway,3.0,1,2005,0.0,23000000.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,6.920547945205479,0
14124,Innov-X Systems,Hardware + Software,28750000.0,acquired,USA,MA,Boston,Woburn,1.0,1,2001,0.0,28750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,6.021917808219178,0
14145,Innovative Spinal Technologies,Health Care,18000000.0,acquired,USA,TX,Dallas,Plano,1.0,1,2002,0.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,0.0,0,international,6.69041095890411,0
14200,InsideAxisÃ¢ÂÂ¢,SaaS,0.0,closed,USA,CA,SF Bay Area,Redwood City,1.0,8,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,-0.663013698630137,1
14209,Insightera,Market Research,6500000.0,acquired,USA,CA,SF Bay Area,San Mateo,2.0,1,2009,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,3.734246575342466,0
14242,Instablogs,Curated Web,0.0,acquired,USA,NY,New York City,New York,1.0,10,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,2.5726027397260274,0
14249,Instagarage,Gift Card,25000.0,closed,USA,LA,New Orleans,New Orleans,1.0,5,2007,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.00821917808219178,1
14251,Instagram,Social Media,57500000.0,acquired,USA,CA,SF Bay Area,San Francisco,3.0,3,2010,500000.0,57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0,international,0.010958904109589041,0
