,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,time_to_first_funding,time_first_to_last_funding,status_encoded
46,17u.cn,Travel,84440319.0,operating,CHN,other,Shanghai,Suzhou,3.0,1,2004,0.0,84440319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479014.0,0.0,83961305.0,0.0,0.0,0.0,0.0,0.0,4.002739726027397,6.134246575342465,2
47,19pay,Finance,9478511.0,operating,CHN,other,Beijing,Beijing,3.0,1,2005,0.0,6230000.0,0.0,3248511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6230000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.501369863013698,2
48,1bib,Curated Web,0.0,closed,CHN,other,Guangzhou,Guangzhou,1.0,1,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1013698630136988,0.0,1
49,1calendar,Education,40000.0,operating,DNK,other,Copenhagen,Copenhagen,1.0,1,2009,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7945205479452054,0.0,2
50,1Cast,Lifestyle,0.0,closed,USA,WA,Seattle,Kirkland,1.0,6,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1
51,1CLICK,Chat,0.0,operating,IND,other,Bangalore,Bangalore,1.0,11,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2356164383561643,0.0,2
52,1CloudStar,File Sharing,0.0,operating,SGP,other,Singapore,Singapore,1.0,1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5835616438356164,0.0,2
53,1DayLater,Curated Web,43811.0,operating,other,other,other,other,2.0,8,2009,0.0,0.0,0.0,0.0,0.0,31924.0,0.0,11887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32054794520547947,0.4191780821917808,2
54,1DayMakeover,E-Commerce,50000.0,closed,USA,CA,"Orange County, California",Santa Ana,1.0,6,2008,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55,1DocWay,Video Chat,0.0,operating,USA,PA,Philadelphia,Philadelphia,1.0,2,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5205479452054794,0.0,2
56,1Energy Systems,Software,1450000.0,operating,USA,WA,Seattle,Seattle,1.0,1,2010,0.0,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3068493150684932,0.0,2
57,1EQ,Mobile Health,2100000.0,operating,other,other,other,other,3.0,3,2013,2100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.684931506849315,1.4794520547945205,2
