name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
CosNet, Software ,500012.0,operating,USA,CA,Anaheim,Huntington Beach,1.0,2004-01-01,2004-01,2004.0,2011-01-10,2011-01-10,0.0,500012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost Effective Data,,0.0,operating,CAN,ON,Toronto,Toronto,1.0,2013-08-01,2013-08,2013.0,2014-01-05,2014-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostPrize, E-Commerce ,200000.0,operating,IND,,Bangalore,Bangalore,2.0,2011-01-01,2011-01,2011.0,2013-03-15,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostumeWorks, E-Commerce ,175000.0,closed,USA,WI,Milwaukee,Lake Geneva,1.0,2008-11-01,2008-11,2008.0,2009-01-01,2009-01-01,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosyforyou,,0.0,operating,FRA,,Paris,Paris,1.0,2011-01-01,2011-01,2011.0,2012-03-09,2012-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COTA, Electronics ,3700000.0,operating,ESP,,Murcia,Murcia,1.0,,,,2014-09-23,2014-09-23,0.0,3700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COTA Track, Cloud Data Services ,3700000.0,operating,USA,NJ,Newark,Hackensack,1.0,2013-01-01,2013-01,2013.0,2014-09-23,2014-09-23,0.0,3700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotap, Collaboration ,15500000.0,operating,USA,CA,SF Bay Area,San Francisco,2.0,2013-05-01,2013-05,2013.0,2013-05-28,2014-01-28,0.0,15500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotendo, Software ,36000000.0,acquired,USA,CA,SF Bay Area,Sunnyvale,4.0,2008-01-01,2008-01,2008.0,2008-01-01,2011-06-15,0.0,36000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,12000000.0,17000000.0,0.0,0.0,0.0,0.0
Cotera, Medical Devices ,6541000.0,operating,USA,CA,SF Bay Area,Menlo Park,2.0,2011-01-01,2011-01,2011.0,2012-10-01,2014-06-24,0.0,5041000.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coterie, Inc.", Social Media ,1500000.0,acquired,USA,CA,SF Bay Area,San Francisco,1.0,2012-04-01,2012-04,2012.0,2012-09-21,2012-09-21,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotopaxi, E-Commerce ,3000000.0,operating,USA,UT,Salt Lake City,Salt Lake City,1.0,2013-11-01,2013-11,2013.0,2014-07-22,2014-07-22,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotton & Reed Distillery,,0.0,operating,USA,DC,"Washington, D.C.",Washington,1.0,2013-03-01,2013-03,2013.0,2013-10-22,2013-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cottonTracks, Curated Web ,165000.0,operating,CHL,,Region Metropolitana,,3.0,2012-01-01,2012-01,2012.0,2012-11-29,2013-09-01,165000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoTweet, Twitter Applications ,1100000.0,acquired,USA,CA,SF Bay Area,San Francisco,1.0,2009-01-01,2009-01,2009.0,2009-07-09,2009-07-09,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coty, Health and Wellness ,0.0,operating,USA,NY,New York City,New York,1.0,,,,2011-01-26,2011-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coub, Curated Web ,3500000.0,operating,RUS,,Moscow,Moscow,2.0,2012-01-01,2012-01,2012.0,2013-07-18,2014-07-29,0.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0
Coubic, Business Services ,500000.0,operating,JPN,,Tokyo,Tokyo,1.0,2013-10-01,2013-10,2013.0,2014-04-28,2014-04-28,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couchbase, Analytics ,116000000.0,operating,USA,CA,SF Bay Area,Mountain View,6.0,2009-01-02,2009-01,2009.0,2009-01-01,2014-06-26,0.0,116000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,10000000.0,14000000.0,25000000.0,60000000.0,0.0,0.0,0.0
CouchCommerce, E-Commerce ,1740690.0,operating,DEU,,Hanover,Hanover,4.0,2012-02-29,2012-02,2012.0,2012-10-18,2013-09-03,1543920.0,0.0,0.0,0.0,0.0,0.0,196770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CouchOne, Software ,2000000.0,closed,USA,CA,SF Bay Area,Oakland,1.0,2009-01-01,2009-01,2009.0,2009-11-23,2009-11-23,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couchsurfing, Social Media ,22600000.0,operating,USA,CA,SF Bay Area,San Francisco,2.0,2004-06-13,2004-06,2004.0,2011-08-24,2012-08-22,0.0,22600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Couchy.com, Social Media ,40000.0,operating,ECU,,Quito,Quito,1.0,2012-01-01,2012-01,2012.0,2012-08-10,2012-08-10,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coull, Publishing ,6000000.0,operating,USA,CA,Santa Barbara,Santa Barbara,2.0,2008-10-01,2008-10,2008.0,2011-11-02,2014-03-14,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Counselytics, Legal ,100000.0,operating,USA,NY,New York City,New York,1.0,2013-07-15,2013-07,2013.0,2013-09-01,2013-09-01,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Counsyl, Technology ,103795000.0,operating,USA,CA,SF Bay Area,South San Francisco,6.0,2008-01-01,2008-01,2008.0,2010-03-16,2014-05-08,0.0,90500000.0,0.0,13295000.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000.0,34000000.0,7500000.0,41500000.0,0.0,0.0,0.0,0.0
Countdown,,18000.0,operating,USA,MA,Boston,Boston,1.0,,,,2013-06-01,2013-06-01,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countdown To Buy, Real Estate ,1100000.0,operating,USA,CT,Hartford,Bethel,1.0,,,,2009-11-16,2009-11-16,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countercepts, Software ,450000.0,operating,,,,,2.0,2014-03-01,2014-03,2014.0,2014-03-01,2014-09-12,300000.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CounterStorm, Security ,9500000.0,acquired,USA,NY,New York City,New York,1.0,2001-01-01,2001-01,2001.0,2005-12-12,2005-12-12,0.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0
CounterTack, Cloud Security ,34500000.0,operating,USA,MA,Boston,Waltham,5.0,2007-01-01,2007-01,2007.0,2011-01-01,2014-06-15,0.0,34500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14500000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Countr,,1500000.0,operating,,,,,1.0,2013-08-01,2013-08,2013.0,2013-08-01,2013-08-01,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countrywide Healthcare Supplies, Hospitals ,4566441.0,operating,GBR,,GBR - Other,,1.0,1996-01-01,1996-01,1996.0,2014-05-09,2014-05-09,0.0,4566441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupa Software, Cloud Infrastructure ,89000000.0,operating,USA,CA,SF Bay Area,San Mateo,6.0,2006-01-01,2006-01,2006.0,2007-03-13,2014-03-20,0.0,89000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,6000000.0,7500000.0,12000000.0,22000000.0,40000000.0,0.0,0.0
Coupad,,75000.0,operating,USA,,USA - Other,,1.0,,,,2005-06-23,2005-06-23,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupang, E-Commerce ,100000000.0,operating,KOR,,Seoul,Seoul,1.0,2010-01-01,2010-01,2010.0,2014-05-28,2014-05-28,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupay, Coupons ,500000.0,operating,SGP,,Singapore,Singapore,1.0,2013-07-04,2013-07,2013.0,2013-10-02,2013-10-02,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupeez Inc., Advertising ,1000000.0,operating,USA,CA,Santa Barbara,Ventura,1.0,2010-06-22,2010-06,2010.0,2010-07-21,2010-07-21,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoupFlip, Coupons ,0.0,operating,USA,NH,"Manchester, New Hampshire",Hanover,1.0,2011-01-01,2011-01,2011.0,2011-12-01,2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUPIES GmbH, Mobile Coupons ,0.0,operating,DEU,,Cologne,Cologne,2.0,2009-03-01,2009-03,2009.0,2010-07-07,2012-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couple, Messaging ,4200000.0,operating,USA,CA,SF Bay Area,San Francisco,1.0,2012-01-01,2012-01,2012.0,2012-05-02,2012-05-02,4200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couplewise, Social Media ,40000.0,operating,USA,NY,New York City,New York,1.0,2010-01-01,2010-01,2010.0,2011-11-30,2011-11-30,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupmon, Mobile Games ,50000.0,operating,SGP,,Singapore,Singapore,1.0,2011-01-01,2011-01,2011.0,2011-01-01,2011-01-01,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupon Wallet, Coupons ,150000.0,operating,USA,MI,Detroit,Sterling Heights,1.0,2012-10-11,2012-10,2012.0,2013-10-25,2013-10-25,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CouponCabin, Curated Web ,54000000.0,operating,USA,IN,South Bend,Whiting,1.0,2003-08-01,2003-08,2003.0,2011-10-20,2011-10-20,0.0,54000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupons Near Me, E-Commerce ,10000.0,closed,,,,,1.0,2013-02-04,2013-02,2013.0,2013-01-08,2013-01-08,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupons.com, Advertising ,276760000.0,operating,USA,CA,SF Bay Area,Mountain View,6.0,1998-01-01,1998-01,1998.0,2005-09-01,2012-01-12,0.0,276760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12260000.0,14500000.0,20000000.0,200000000.0,0.0,0.0
Coupoplaces, Location Based Services ,15000.0,closed,GBR,,London,London,1.0,2011-06-01,2011-06,2011.0,2011-06-20,2011-06-20,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoupOption, Public Relations ,0.0,operating,USA,WY,Cheyenne,Cheyenne,1.0,2012-03-08,2012-03,2012.0,2013-04-11,2013-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupsta, Group Buying ,0.0,operating,AUS,,Melbourne,Melbourne,1.0,2010-10-10,2010-10,2010.0,2010-10-01,2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupz, Coupons ,250000.0,operating,,,,,1.0,2010-04-12,2010-04,2010.0,2010-04-12,2010-04-12,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cour Pharmaceuticals Development, Biotechnology ,516977.0,operating,USA,IL,Chicago,Elmhurst,2.0,2012-01-01,2012-01,2012.0,2013-04-23,2014-08-28,16977.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
